"customer_sk","cap_cis_id","customer_type_cd","customer_type_desc","customer_status_cd","customer_status_desc","customer_since_date","customer_left_dt","customer_bankrupt_dt","customer_domicile_branch_cd","customer_domicile_branch_desc","relationship_manager_cd","relationship_manager","rlnshp_manager_assigned_dt","contact_allowed_yn","credit_behavioural_risk_rating","relationship_depth_flag","annual_revenue","annual_cost_to_serve","marketing_email","statement_email","bpay_email"
1041,1041,"R","Retail","01","Active","2000-08-13","NA","NA","NA","Carnidale","NA","NA","2009-05-26","Y",687,"NA",0,0,"Bob.Smith@gmail.com","Bob.Smith@gmail.com","Bob.Smith@gmail.com"
1042,1042,"R","Retail","01","Active","1990-12-24","NA","NA","NA","South Yarra","NA","NA","2011-09-20","Y",710,"NA",0,0,"NA","NA","NA"
1043,1043,"R","Retail","01","Active","1987-10-08","NA","NA","NA","Neutral Bay","NA","NA","2014-03-04","Y",740,"NA",0,0,"NA","NA","NA"
1044,1044,"R","Retail","01","Active","1984-01-12","NA","NA","NA","Mount Lawley","NA","NA","2008-07-09","Y",558,"NA",0,0,"Ellen.Wong@gmail.com","Ellen.Wong@gmail.com","Ellen.Wong@gmail.com"
1045,1045,"R","Retail","01","Active","1986-07-12","NA","NA","NA","Bourke St Mall","NA","NA","2009-04-27","Y",815,"NA",0,0,"NA","NA","NA"
1046,1046,"R","Retail","01","Active","2006-05-12","NA","NA","NA","Northbridge","NA","NA","2005-04-30","Y",797,"NA",0,0,"Jim.Wong@gmail.com","Jim.Wong@gmail.com","Jim.Wong@gmail.com"
1047,1047,"R","Retail","01","Active","1997-07-15","NA","NA","NA","Manuka","NA","NA","2006-08-07","Y",735,"NA",0,0,"Jane.Papadakis@gmail.com","Jane.Papadakis@gmail.com","Jane.Papadakis@gmail.com"
1048,1048,"R","Retail","01","Active","2003-10-10","NA","NA","NA","West End","NA","NA","2009-08-02","Y",673,"NA",0,0,"NA","NA","NA"
1049,1049,"R","Retail","01","Active","2013-12-08","NA","NA","NA","Footscray Mall","NA","NA","2006-02-08","Y",563,"NA",0,0,"NA","NA","NA"
1050,1050,"R","Retail","01","Active","1992-11-01","NA","NA","NA","Crows Nest","NA","NA","2013-12-18","Y",776,"NA",0,0,"NA","NA","NA"
