"customer_sk","first_name","last_name","preferred_name","name_prefix","name_suffix","occupation_cd","occupation","gender_cd","birth_dt","deceased_dt","employment_status","employer_name","months_with_current_employer","home_phone","mobile_phone","work_phone","preferred_contact_method","preferred_email","preferred_phone","preferred_address_type"
1041,"Bob","Smith","Bob","Mr","NA","0001","Accountant","M","1989-10-31","NA","Full time","Foster\'s Group",148,"0753371583","0432845248","0703415469","marketing email","Bob.Smith@gmail.com","NA","mail"
1042,"Lynley","Smith","Lynley","Mrs","NA","0006","Engineer","F","1979-10-31","NA","Full time","Foster\'s Group",104,"0367390988","0412451509","0376901328","mobile phone","NA","0412451509","mail"
1043,"Jane","Khan","Jane","Mrs","NA","0059","Factory Worker","F","1972-10-31","NA","Full time","Coca-Cola Amatil",163,"0269768404","0438946802","0236540040","home phone","NA","0269768404","residential"
1044,"Ellen","Wong","Ellen","Ms","NA","0006","Engineer","F","1958-10-31","NA","Full time","HR Block",197,"0807829889","0402243729","0858536247","marketing email","Ellen.Wong@gmail.com","NA","residential"
1045,"Alice","Williams","Alice","Ms","NA","0001","Accountant","F","1970-10-31","NA","Full time","Brown Brothers",132,"0343373762","0454791373","0344650942","home phone","NA","0343373762","residential"
1046,"Jim","Wong","Jim","Mr","NA","0059","Factory Worker","M","1990-10-31","NA","Full time","Woolworths",4,"0846620462","0412869182","0890887024","marketing email","Jim.Wong@gmail.com","NA","residential"
1047,"Jane","Papadakis","Jane","Mrs","NA","0006","Engineer","F","1961-10-31","NA","Full time","BHP Bilton",11,"0667415365","0409444974","0656716847","marketing email","Jane.Papadakis@gmail.com","NA","residential"
1048,"Richard","Smith","Richard","Mr","NA","0001","Accountant","M","1986-10-31","NA","Full time","BHP Bilton",98,"0782079647","0422184691","0734102506","mobile phone","NA","0422184691","mail"
1049,"Bob","Jones","Bob","Mr","NA","0059","Factory Worker","M","1984-10-31","NA","Full time","Telstra",80,"0372899740","0469222919","0350214569","mobile phone","NA","0469222919","mail"
1050,"Jim","Harris","Jim","Mr","NA","0059","Factory Worker","M","1982-10-31","NA","Full time","Woolworths",143,"0234150569","0459046485","0252313651","work phone","NA","0252313651","residential"
